조사년월일,측정소이름,측정지역,일일강수량
20180701,강남,강남구,82
20180701,강동,강동구,78.5
20180701,강북,강북구,77
20180701,광진,광진구,76
20180701,구로,구로구,85
20180701,남산,남산구,81
20180701,노원,노원구,74
20180701,도봉,도봉구,79.5
20180701,동대문,동대문구,72.5
20180701,동작,동작구,86.5
20180701,마포,마포구,71
20180701,서대문,서대문구,75
20180701,서초,서초구,83.5
20180701,성동,성동구,1.5
20180701,성북,성북구,75
20180701,양천,양천구,79
20180701,용산,용산구,79
20180701,은평,은평구,69
20180701,종로,종로구,77
20180701,중구,중구구,81
20180701,중랑,중랑구,64.5
20180702,강남,강남구,67.5
20180702,강동,강동구,85.5
20180702,강북,강북구,55.5
20180702,광진,광진구,59.5
20180702,구로,구로구,37
20180702,남산,남산구,55.5
20180702,노원,노원구,57.5
20180702,도봉,도봉구,54
20180702,동대문,동대문구,56.5
20180702,동작,동작구,51.5
20180702,마포,마포구,54.5
20180702,서대문,서대문구,56
20180702,서초,서초구,73
20180702,성동,성동구,0.5
20180702,성북,성북구,54
20180702,양천,양천구,55
20180702,용산,용산구,51.5
20180702,은평,은평구,53.5
20180702,종로,종로구,54
20180702,중구,중구구,59
20180702,중랑,중랑구,56.5
20180703,강남,강남구,0
20180703,강동,강동구,0
20180703,강북,강북구,0
20180703,광진,광진구,0
20180703,구로,구로구,0
20180703,남산,남산구,0
20180703,노원,노원구,0
20180703,도봉,도봉구,0
20180703,동대문,동대문구,0
20180703,동작,동작구,0.5
20180703,마포,마포구,3.5
20180703,서대문,서대문구,3.5
20180703,서초,서초구,0
20180703,성동,성동구,0
20180703,성북,성북구,0
20180703,양천,양천구,0
20180703,용산,용산구,0
20180703,은평,은평구,0
20180703,종로,종로구,0
20180703,중구,중구구,0
20180703,중랑,중랑구,0
20180704,강남,강남구,0
20180704,강동,강동구,0
20180704,강북,강북구,0
20180704,광진,광진구,0
20180704,구로,구로구,0
20180704,남산,남산구,0
20180704,노원,노원구,0
20180704,도봉,도봉구,0
20180704,동대문,동대문구,0
20180704,동작,동작구,0
20180704,마포,마포구,0
20180704,서대문,서대문구,0
20180704,서초,서초구,0
20180704,성동,성동구,0
20180704,성북,성북구,0
20180704,송파,송파구,0
20180704,양천,양천구,0
20180704,용산,용산구,0
20180704,은평,은평구,0
20180704,종로,종로구,0
20180704,중구,중구구,0
20180704,중랑,중랑구,0
20180705,강남,강남구,1
20180705,강동,강동구,5.5
20180705,강북,강북구,4
20180705,관악,관악구,9
20180705,광진,광진구,9
20180705,구로,구로구,0
20180705,남산,남산구,0
20180705,노원,노원구,2
20180705,도봉,도봉구,0
20180705,동대문,동대문구,0.5
20180705,동작,동작구,12.5
20180705,마포,마포구,0.5
20180705,서대문,서대문구,0
20180705,서초,서초구,0
20180705,성동,성동구,8
20180705,성북,성북구,1
20180705,송파,송파구,0
20180705,양천,양천구,0
20180705,영등포,영등포구,0
20180705,용산,용산구,0
20180705,은평,은평구,0
20180705,종로,종로구,0.5
20180705,중구,중구구,0
20180705,중랑,중랑구,3
20180706,강남,강남구,0
20180706,강동,강동구,0
20180706,강북,강북구,0
20180706,관악,관악구,0
20180706,광진,광진구,0
20180706,구로,구로구,0
20180706,남산,남산구,0
20180706,노원,노원구,0
20180706,도봉,도봉구,0
20180706,동대문,동대문구,0
20180706,동작,동작구,0
20180706,마포,마포구,0
20180706,서대문,서대문구,0
20180706,서초,서초구,0
20180706,성동,성동구,0
20180706,성북,성북구,0
20180706,송파,송파구,0
20180706,양천,양천구,0
20180706,영등포,영등포구,0
20180706,용산,용산구,0
20180706,은평,은평구,0
20180706,종로,종로구,0
20180706,중구,중구구,0
20180706,중랑,중랑구,0
20180707,강남,강남구,0
20180707,강동,강동구,0
20180707,강북,강북구,0
20180707,관악,관악구,0
20180707,광진,광진구,0
20180707,구로,구로구,0
20180707,남산,남산구,0
20180707,노원,노원구,0
20180707,도봉,도봉구,0
20180707,동대문,동대문구,0
20180707,동작,동작구,0
20180707,마포,마포구,0
20180707,서대문,서대문구,0
20180707,서초,서초구,0
20180707,성북,성북구,0
20180707,송파,송파구,0
20180707,양천,양천구,0
20180707,영등포,영등포구,0
20180707,용산,용산구,0
20180707,은평,은평구,0
20180707,종로,종로구,0
20180707,중구,중구구,0
20180707,중랑,중랑구,0
20180708,강남,강남구,0
20180708,강동,강동구,0
20180708,강북,강북구,0
20180708,관악,관악구,0
20180708,광진,광진구,0
20180708,구로,구로구,0
20180708,남산,남산구,0
20180708,노원,노원구,0
20180708,도봉,도봉구,0
20180708,동대문,동대문구,0
20180708,동작,동작구,0
20180708,마포,마포구,0
20180708,서대문,서대문구,0
20180708,서초,서초구,0
20180708,성북,성북구,0
20180708,송파,송파구,0
20180708,양천,양천구,0
20180708,영등포,영등포구,0
20180708,용산,용산구,0
20180708,은평,은평구,0
20180708,종로,종로구,0
20180708,중구,중구구,0
20180708,중랑,중랑구,0
20180709,강남,강남구,11
20180709,강동,강동구,8.5
20180709,강북,강북구,11.5
20180709,관악,관악구,11.5
20180709,광진,광진구,10
20180709,구로,구로구,11.5
20180709,남산,남산구,12
20180709,노원,노원구,12
20180709,도봉,도봉구,13
20180709,동대문,동대문구,9.5
20180709,동작,동작구,12
20180709,마포,마포구,18.5
20180709,서대문,서대문구,12
20180709,서초,서초구,12
20180709,성북,성북구,13
20180709,송파,송파구,8.5
20180709,양천,양천구,15.5
20180709,영등포,영등포구,15.5
20180709,용산,용산구,11
20180709,은평,은평구,14
20180709,종로,종로구,11
20180709,중구,중구구,13
20180709,중랑,중랑구,9.5
20180710,강남,강남구,11
20180710,강동,강동구,10
20180710,강북,강북구,27
20180710,관악,관악구,15
20180710,광진,광진구,19.5
20180710,구로,구로구,15
20180710,남산,남산구,19
20180710,노원,노원구,25
20180710,도봉,도봉구,29
20180710,동대문,동대문구,22
20180710,동작,동작구,21.5
20180710,마포,마포구,16
20180710,서대문,서대문구,16.5
20180710,서초,서초구,10
20180710,성북,성북구,23.5
20180710,송파,송파구,6.5
20180710,양천,양천구,15
20180710,영등포,영등포구,15
20180710,용산,용산구,19
20180710,은평,은평구,18
20180710,종로,종로구,18.5
20180710,중구,중구구,21.5
20180710,중랑,중랑구,20
20180711,강남,강남구,3
20180711,강동,강동구,2.5
20180711,강북,강북구,4.5
20180711,관악,관악구,2.5
20180711,광진,광진구,2.5
20180711,구로,구로구,1.5
20180711,남산,남산구,4
20180711,노원,노원구,4.5
20180711,도봉,도봉구,8.5
20180711,동대문,동대문구,3.5
20180711,동작,동작구,2.5
20180711,마포,마포구,2.5
20180711,서대문,서대문구,2.5
20180711,서초,서초구,1.5
20180711,성북,성북구,3.5
20180711,송파,송파구,2
20180711,양천,양천구,2.5
20180711,영등포,영등포구,2.5
20180711,용산,용산구,2.5
20180711,은평,은평구,5
20180711,종로,종로구,3
20180711,중구,중구구,4
20180711,중랑,중랑구,3
20180712,강남,강남구,0.5
20180712,강동,강동구,0
20180712,강북,강북구,0
20180712,관악,관악구,0
20180712,광진,광진구,0
20180712,구로,구로구,0
20180712,남산,남산구,0
20180712,노원,노원구,0.5
20180712,도봉,도봉구,0.5
20180712,동대문,동대문구,1.5
20180712,동작,동작구,0.5
20180712,마포,마포구,1
20180712,서대문,서대문구,0.5
20180712,서초,서초구,1
20180712,성북,성북구,0.5
20180712,송파,송파구,0
20180712,양천,양천구,0.5
20180712,영등포,영등포구,1
20180712,용산,용산구,0.5
20180712,은평,은평구,2
20180712,종로,종로구,0.5
20180712,중구,중구구,0
20180712,중랑,중랑구,0
20180713,강남,강남구,0
20180713,강동,강동구,0
20180713,강북,강북구,0
20180713,관악,관악구,0
