조사년월일,측정소이름,측정지역,일일강수량
20220701,노원,노원구,0
20220701,성동,성동구,0
20220701,성북,성북구,0
20220701,송파,송파구,0
20220701,양천,양천구,0
20220701,영등포,영등포구,0
20220701,용산,용산구,0
20220701,은평,은평구,0
20220701,중구,중구,0
20220701,강남,강남구,0
20220701,강동,강동구,0
20220701,강북,강북구,0
20220701,강서,강서구,0
20220701,관악,관악구,0
20220701,광진,광진구,0
20220701,구로,구로구,0
20220701,금천,금천구,0
20220701,동대문,동대문구,0
20220701,마포,마포구,0
20220701,서대문,서대문구,0
20220701,서초,서초구,0
20220702,노원,노원구,0
20220702,성동,성동구,0
20220702,성북,성북구,0
20220702,송파,송파구,0
20220702,양천,양천구,0
20220702,영등포,영등포구,0
20220702,용산,용산구,0
20220702,은평,은평구,0
20220702,중구,중구,0
20220702,강남,강남구,0
20220702,강동,강동구,0
20220702,강북,강북구,0
20220702,강서,강서구,0
20220702,관악,관악구,0
20220702,광진,광진구,0
20220702,구로,구로구,0
20220702,금천,금천구,0
20220702,도봉,도봉구,0
20220702,동대문,동대문구,0
20220702,마포,마포구,0
20220702,서대문,서대문구,0
20220702,서초,서초구,0
20220703,노원,노원구,0
20220703,성동,성동구,0
20220703,성북,성북구,0
20220703,송파,송파구,0
20220703,양천,양천구,0
20220703,영등포,영등포구,0
20220703,용산,용산구,0
20220703,은평,은평구,0
20220703,중구,중구,0
20220703,강남,강남구,0
20220703,강동,강동구,0
20220703,강북,강북구,0
20220703,강서,강서구,0
20220703,관악,관악구,0
20220703,광진,광진구,0
20220703,구로,구로구,0
20220703,금천,금천구,0
20220703,도봉,도봉구,0
20220703,동대문,동대문구,0
20220703,마포,마포구,0
20220703,서대문,서대문구,0
20220703,서초,서초구,0
20220704,노원,노원구,0
20220704,성동,성동구,0
20220704,성북,성북구,11
20220704,송파,송파구,1
20220704,양천,양천구,0
20220704,영등포,영등포구,1.5
20220704,용산,용산구,0
20220704,은평,은평구,14.5
20220704,중구,중구,7.5
20220704,강남,강남구,10.5
20220704,강동,강동구,0
20220704,강서,강서구,5
20220704,관악,관악구,0
20220704,광진,광진구,3.5
20220704,구로,구로구,0
20220704,금천,금천구,0
20220704,도봉,도봉구,8
20220704,동대문,동대문구,0
20220704,마포,마포구,1
20220704,서대문,서대문구,0
20220704,서초,서초구,0
20220705,노원,노원구,0
20220705,성동,성동구,0
20220705,성북,성북구,0
20220705,송파,송파구,0
20220705,양천,양천구,0
20220705,영등포,영등포구,0
20220705,용산,용산구,0
20220705,은평,은평구,11.5
20220705,중구,중구,0
20220705,강남,강남구,0
20220705,강동,강동구,8.5
20220705,강북,강북구,0
20220705,강서,강서구,5
20220705,관악,관악구,14.5
20220705,광진,광진구,0.5
20220705,구로,구로구,4.5
20220705,금천,금천구,2
20220705,도봉,도봉구,0
20220705,동대문,동대문구,0
20220705,마포,마포구,0
20220705,서대문,서대문구,0
20220705,서초,서초구,0
20220706,노원,노원구,14
20220706,성동,성동구,37
20220706,성북,성북구,19
20220706,송파,송파구,17
20220706,양천,양천구,19.5
20220706,영등포,영등포구,17
20220706,용산,용산구,15.5
20220706,은평,은평구,17
20220706,중구,중구,18
20220706,강남,강남구,22.5
20220706,강동,강동구,18.5
20220706,강북,강북구,19.5
20220706,강서,강서구,23
20220706,관악,관악구,26.5
20220706,광진,광진구,27.5
20220706,구로,구로구,27
20220706,금천,금천구,28
20220706,도봉,도봉구,21
20220706,동대문,동대문구,30.5
20220706,마포,마포구,23
20220706,서대문,서대문구,19
20220706,서초,서초구,36
20220707,노원,노원구,1
20220707,성동,성동구,1.5
20220707,성북,성북구,0
20220707,송파,송파구,1
20220707,양천,양천구,1.5
20220707,영등포,영등포구,0.5
20220707,용산,용산구,0.5
20220707,은평,은평구,3
20220707,중구,중구,0.5
20220707,강남,강남구,1
20220707,강동,강동구,1
20220707,강북,강북구,0
20220707,관악,관악구,4
20220707,구로,구로구,2
20220707,금천,금천구,0
20220707,도봉,도봉구,0.5
20220707,동대문,동대문구,1
20220707,마포,마포구,0.5
20220707,서대문,서대문구,0
20220707,서초,서초구,2
20220708,노원,노원구,1
20220708,성동,성동구,1.5
20220708,성북,성북구,2.5
20220708,송파,송파구,0
20220708,양천,양천구,1.5
20220708,영등포,영등포구,0.5
20220708,용산,용산구,1.5
20220708,은평,은평구,1.5
20220708,강남,강남구,0.5
20220708,강동,강동구,0
20220708,강북,강북구,1
20220708,강서,강서구,1
20220708,관악,관악구,2.5
20220708,광진,광진구,0.5
20220708,구로,구로구,1
20220708,금천,금천구,1.5
20220708,도봉,도봉구,1
20220708,동대문,동대문구,2
20220708,마포,마포구,1.5
20220708,서대문,서대문구,1
20220708,서초,서초구,1
20220709,노원,노원구,0
20220709,성동,성동구,0
20220709,성북,성북구,0
20220709,송파,송파구,0
20220709,양천,양천구,0
20220709,영등포,영등포구,0
20220709,용산,용산구,0
20220709,은평,은평구,1
20220709,중구,중구,0
20220709,강남,강남구,0
20220709,강동,강동구,0
20220709,강북,강북구,0
20220709,강서,강서구,0.5
20220709,관악,관악구,0
20220709,광진,광진구,0
20220709,구로,구로구,0
20220709,금천,금천구,0
20220709,도봉,도봉구,0
20220709,동대문,동대문구,0
20220709,마포,마포구,0.5
20220709,서대문,서대문구,0
20220709,서초,서초구,0
20220710,노원,노원구,0
20220710,성동,성동구,0
20220710,성북,성북구,0
20220710,송파,송파구,0
20220710,양천,양천구,0
20220710,영등포,영등포구,0
20220710,용산,용산구,0
20220710,은평,은평구,0
20220710,중구,중구,0
20220710,강남,강남구,0
20220710,강동,강동구,0
20220710,강북,강북구,0
20220710,강서,강서구,0
20220710,관악,관악구,0
20220710,광진,광진구,0
20220710,구로,구로구,0
20220710,금천,금천구,0
20220710,도봉,도봉구,0
20220710,동대문,동대문구,0
20220710,마포,마포구,0
20220710,서대문,서대문구,0
20220710,서초,서초구,0
20220711,노원,노원구,0.5
20220711,성동,성동구,3.5
20220711,성북,성북구,3
20220711,송파,송파구,0
20220711,양천,양천구,0
20220711,영등포,영등포구,0.5
20220711,용산,용산구,2
20220711,은평,은평구,0
20220711,중구,중구,23
20220711,강남,강남구,0
20220711,강동,강동구,0
20220711,강서,강서구,0.5
20220711,관악,관악구,22
20220711,광진,광진구,0
20220711,구로,구로구,6.5
20220711,금천,금천구,0.5
20220711,도봉,도봉구,0
20220711,동대문,동대문구,0.5
20220711,마포,마포구,0.5
20220711,서대문,서대문구,0
20220711,서초,서초구,1
20220712,노원,노원구,0
20220712,서초,서초구,0
20220712,성동,성동구,0
20220712,성북,성북구,0
20220712,송파,송파구,0
20220712,양천,양천구,0
20220712,영등포,영등포구,0
20220712,용산,용산구,0
20220712,은평,은평구,0
20220712,중구,중구,0
20220712,강남,강남구,0
20220712,강동,강동구,0
