조사년월일,측정소이름,측정지역,일일강수량
20190701,서초,서초구,0
20190701,용산,용산구,0
20190701,성북,성북구,0
20190701,송파,송파구,0
20190701,중구,중구,0
20190701,양천,양천구,0
20190701,영등포,영등포구,0
20190701,은평,은평구,0
20190701,동대문,동대문구,0
20190701,금천,금천구,0
20190701,서대문,서대문구,0
20190701,도봉,도봉구,0
20190701,성동,성동구,0
20190701,마포,마포구,0
20190701,강북,강북구,0
20190701,관악,관악구,0
20190701,강남,강남구,0
20190701,강동,강동구,0
20190701,구로,구로구,0
20190701,강서,강서구,0
20190701,노원,노원구,0
20190701,광진,광진구,0
20190702,서초,서초구,0
20190702,성북,성북구,0
20190702,중구,중구,0
20190702,양천,양천구,0
20190702,영등포,영등포구,0
20190702,용산,용산구,0
20190702,은평,은평구,0
20190702,동대문,동대문구,0
20190702,금천,금천구,0
20190702,서대문,서대문구,0
20190702,도봉,도봉구,0
20190702,성동,성동구,0
20190702,마포,마포구,0
20190702,송파,송파구,0
20190702,강북,강북구,0
20190702,관악,관악구,0
20190702,강남,강남구,0
20190702,강동,강동구,0
20190702,구로,구로구,0
20190702,강서,강서구,0
20190702,노원,노원구,0
20190702,광진,광진구,0
20190703,서초,서초구,0
20190703,성북,성북구,0
20190703,중구,중구,0
20190703,양천,양천구,0
20190703,영등포,영등포구,0
20190703,용산,용산구,0
20190703,은평,은평구,0
20190703,동대문,동대문구,0
20190703,금천,금천구,0
20190703,서대문,서대문구,0
20190703,도봉,도봉구,0
20190703,성동,성동구,0
20190703,마포,마포구,0
20190703,송파,송파구,0
20190703,관악,관악구,0
20190703,강남,강남구,0
20190703,강동,강동구,0
20190703,구로,구로구,0
20190703,강북,강북구,0
20190703,노원,노원구,0
20190703,광진,광진구,0
20190704,서초,서초구,0
20190704,성북,성북구,0
20190704,중구,중구,0
20190704,양천,양천구,0
20190704,영등포,영등포구,0
20190704,용산,용산구,0
20190704,은평,은평구,0
20190704,동대문,동대문구,0
20190704,금천,금천구,0
20190704,서대문,서대문구,0
20190704,도봉,도봉구,0
20190704,성동,성동구,0
20190704,마포,마포구,0
20190704,송파,송파구,0
20190704,관악,관악구,0
20190704,강남,강남구,0
20190704,강동,강동구,0
20190704,구로,구로구,0
20190704,강북,강북구,0
20190704,강서,강서구,0
20190704,노원,노원구,0
20190704,광진,광진구,0
20190705,서초,서초구,0
20190705,성북,성북구,1
20190705,중구,중구,0
20190705,양천,양천구,0
20190705,영등포,영등포구,0
20190705,용산,용산구,0
20190705,은평,은평구,0
20190705,광진,광진구,0
20190705,동대문,동대문구,0
20190705,금천,금천구,0
20190705,서대문,서대문구,0
20190705,도봉,도봉구,0
20190705,성동,성동구,0
20190705,마포,마포구,0
20190705,송파,송파구,0
20190705,관악,관악구,0
20190705,강남,강남구,0
20190705,강동,강동구,0.5
20190705,구로,구로구,0
20190705,강북,강북구,0.5
20190705,강서,강서구,0
20190705,노원,노원구,0
20190706,서초,서초구,0
20190706,성북,성북구,0
20190706,중구,중구,0
20190706,양천,양천구,0
20190706,영등포,영등포구,0
20190706,용산,용산구,0
20190706,은평,은평구,0
20190706,광진,광진구,0
20190706,동대문,동대문구,0
20190706,금천,금천구,0
20190706,서대문,서대문구,0
20190706,도봉,도봉구,0
20190706,성동,성동구,0
20190706,마포,마포구,0
20190706,송파,송파구,0
20190706,관악,관악구,0
20190706,강남,강남구,0
20190706,강동,강동구,0
