조사년월일,측정소이름,측정지역,일일강수량
20200701,광진,광진구,0
20200701,용산,용산구,0
20200701,구로,구로구,0
20200701,은평,은평구,0
20200701,중구,중구,0
20200701,서초,서초구,0
20200701,성동,성동구,0
20200701,금천,금천구,0
20200701,양천,양천구,0.5
20200701,영등포,영등포구,0.5
20200701,동대문,동대문구,0
20200701,마포,마포구,0
20200701,관악,관악구,0
20200701,서대문,서대문구,0
20200701,강남,강남구,0
20200701,성북,성북구,0
20200701,노원,노원구,0
20200701,도봉,도봉구,0
20200701,강동,강동구,0
20200701,강북,강북구,0
20200701,송파,송파구,0
20200701,강서,강서구,0.5
20200702,광진,광진구,0
20200702,용산,용산구,0
20200702,구로,구로구,0
20200702,은평,은평구,0
20200702,중구,중구,0
20200702,서초,서초구,0
20200702,성동,성동구,0
20200702,금천,금천구,0
20200702,강서,강서구,0
20200702,양천,양천구,0
20200702,영등포,영등포구,0
20200702,동대문,동대문구,0
20200702,마포,마포구,0
20200702,관악,관악구,0
20200702,서대문,서대문구,0
20200702,강남,강남구,0
20200702,성북,성북구,0
20200702,노원,노원구,0
20200702,도봉,도봉구,0
20200702,강동,강동구,0
20200702,강북,강북구,0
20200702,송파,송파구,0
20200703,광진,광진구,0
20200703,용산,용산구,0
20200703,구로,구로구,0.5
20200703,은평,은평구,0.5
20200703,중구,중구,0
20200703,서초,서초구,0
20200703,성동,성동구,0
20200703,금천,금천구,0
20200703,강서,강서구,0.5
20200703,양천,양천구,0.5
20200703,영등포,영등포구,0.5
20200703,동대문,동대문구,0
20200703,마포,마포구,0
20200703,관악,관악구,0.5
20200703,서대문,서대문구,0
20200703,강남,강남구,0
20200703,성북,성북구,0
20200703,노원,노원구,0
20200703,도봉,도봉구,0
20200703,강동,강동구,0
20200703,강북,강북구,0
20200703,송파,송파구,0
20200704,광진,광진구,1
20200704,구로,구로구,1.5
20200704,은평,은평구,2
20200704,중구,중구,2
20200704,서초,서초구,2
20200704,성동,성동구,2
20200704,금천,금천구,0
20200704,강서,강서구,1.5
20200704,양천,양천구,1.5
20200704,영등포,영등포구,1.5
20200704,동대문,동대문구,2
20200704,용산,용산구,2
20200704,마포,마포구,2
20200704,관악,관악구,1.5
20200704,서대문,서대문구,2.5
20200704,강남,강남구,2
20200704,성북,성북구,2
20200704,노원,노원구,2
20200704,도봉,도봉구,1.5
20200704,강동,강동구,1.5
20200704,강북,강북구,2
20200704,송파,송파구,2
20200705,광진,광진구,0
20200705,구로,구로구,0
20200705,은평,은평구,0
20200705,중구,중구,0
20200705,서초,서초구,0
20200705,성동,성동구,0
20200705,금천,금천구,0
20200705,강서,강서구,0
20200705,양천,양천구,0
20200705,관악,관악구,0
20200705,영등포,영등포구,0
20200705,동대문,동대문구,0
20200705,용산,용산구,0
20200705,마포,마포구,0
20200705,서대문,서대문구,0
20200705,강남,강남구,0
20200705,성북,성북구,0
20200705,노원,노원구,0
20200705,도봉,도봉구,0
20200705,강동,강동구,0
20200705,강북,강북구,0
20200705,송파,송파구,0
20200706,금천,금천구,0
20200706,서대문,서대문구,0
20200706,광진,광진구,0
20200706,구로,구로구,0
20200706,은평,은평구,0
20200706,중구,중구,0
20200706,서초,서초구,0
20200706,성동,성동구,0
20200706,강서,강서구,0
20200706,양천,양천구,0
20200706,관악,관악구,0
20200706,영등포,영등포구,0
20200706,동대문,동대문구,0
20200706,용산,용산구,0
20200706,마포,마포구,0
20200706,강남,강남구,0
20200706,성북,성북구,0
20200706,노원,노원구,0
20200706,도봉,도봉구,0
20200706,강동,강동구,0
20200706,강북,강북구,0
20200706,송파,송파구,0
20200707,영등포,영등포구,0
20200707,마포,마포구,0
20200707,관악,관악구,0
20200707,동대문,동대문구,0
20200707,송파,송파구,0
20200707,양천,양천구,0
20200707,용산,용산구,0
20200707,광진,광진구,0
20200707,강서,강서구,0
20200707,구로,구로구,0
20200707,강북,강북구,0
20200707,노원,노원구,0
20200707,은평,은평구,0
20200707,중구,중구,0
20200707,서대문,서대문구,0
20200707,성북,성북구,0
20200707,서초,서초구,0
20200707,금천,금천구,0
20200707,강남,강남구,0
20200707,성동,성동구,0
20200707,강동,강동구,0
20200707,도봉,도봉구,0
20200708,관악,관악구,0
20200708,양천,양천구,0
20200708,강서,강서구,0
20200708,성동,성동구,0
20200708,서초,서초구,0
20200708,중구,중구,0
20200708,구로,구로구,0
20200708,광진,광진구,0
20200708,서대문,서대문구,0
20200708,금천,금천구,0
20200708,송파,송파구,0
20200708,강북,강북구,0
20200708,강동,강동구,0
20200708,도봉,도봉구,0
20200708,노원,노원구,0
20200708,성북,성북구,0
20200708,강남,강남구,0
20200708,마포,마포구,0
20200708,용산,용산구,0
20200708,동대문,동대문구,0
20200708,영등포,영등포구,0
20200709,서초,서초구,0
20200709,관악,관악구,0
20200709,강남,강남구,0
20200709,중구,중구,0
