조사년월일,측정소이름,측정지역,일일강수량
20210710,노원,노원구,0.5
20210710,도봉,도봉구,0.5
20210710,동대문,동대문구,0
20210710,마포,마포구,0.5
20210710,서대문,서대문구,0.5
20210710,서초,서초구,14.5
20210710,성동,성동구,2.5
20210710,성북,성북구,0.5
20210710,송파,송파구,6.5
20210710,양천,양천구,2
20210710,영등포,영등포구,2
20210710,용산,용산구,6
20210710,은평,은평구,0.5
20210710,중구,중구,1.5
20210711,강남,강남구,0
20210711,강동,강동구,3.5
20210711,강북,강북구,5
20210711,강서,강서구,1
20210711,관악,관악구,0.5
20210711,광진,광진구,1
20210711,구로,구로구,0.5
20210711,금천,금천구,1.5
20210711,노원,노원구,11
20210711,도봉,도봉구,4.5
20210711,동대문,동대문구,2.5
20210711,마포,마포구,0
20210711,서대문,서대문구,0.5
20210711,서초,서초구,0.5
20210711,성동,성동구,2
20210711,송파,송파구,0.5
20210711,양천,양천구,0.5
20210711,영등포,영등포구,0
20210711,용산,용산구,0
20210711,은평,은평구,0.5
20210711,중구,중구,1
20210712,강남,강남구,0
20210712,강동,강동구,0
20210712,강북,강북구,0
20210712,강서,강서구,0
20210712,관악,관악구,0
20210712,광진,광진구,0
20210712,구로,구로구,0
20210712,금천,금천구,0
20210712,노원,노원구,0
20210712,도봉,도봉구,0
20210712,동대문,동대문구,0
20210712,마포,마포구,0
20210712,서대문,서대문구,0
20210712,서초,서초구,0
20210712,성동,성동구,0
20210712,성북,성북구,0
20210712,송파,송파구,0
20210712,양천,양천구,0
20210712,영등포,영등포구,0
20210712,용산,용산구,0
20210712,은평,은평구,0
20210712,중구,중구,0
20210713,강남,강남구,0
20210713,강동,강동구,0
20210713,강북,강북구,0
20210713,강서,강서구,0
20210713,관악,관악구,0
20210713,광진,광진구,0
20210713,구로,구로구,0
20210713,금천,금천구,0
20210713,노원,노원구,0
20210713,도봉,도봉구,0
20210713,동대문,동대문구,0
20210713,마포,마포구,0
20210713,서대문,서대문구,0
20210713,서초,서초구,0
20210713,성동,성동구,0
20210713,성북,성북구,0
20210713,송파,송파구,0
20210713,양천,양천구,0
20210713,영등포,영등포구,0
20210713,용산,용산구,0
20210713,은평,은평구,0
20210713,중구,중구,0
20210714,강남,강남구,0
20210714,강동,강동구,0
20210714,강북,강북구,0
20210714,강서,강서구,0
20210714,관악,관악구,0
20210714,광진,광진구,0
20210714,구로,구로구,0
20210714,금천,금천구,0
20210714,노원,노원구,0
20210714,도봉,도봉구,0
20210714,동대문,동대문구,0
20210714,마포,마포구,0
20210714,서대문,서대문구,0
20210714,서초,서초구,0
20210714,성동,성동구,0
20210714,성북,성북구,0
20210714,송파,송파구,0
20210714,양천,양천구,0
20210714,영등포,영등포구,0
20210714,용산,용산구,0
20210714,은평,은평구,0
20210714,중구,중구,0
20210715,강남,강남구,0
20210715,강동,강동구,10
20210715,강북,강북구,0
20210715,강서,강서구,0
20210715,관악,관악구,0
20210715,광진,광진구,1
20210715,구로,구로구,0
20210715,금천,금천구,0
20210715,노원,노원구,17
20210715,도봉,도봉구,0
20210715,동대문,동대문구,13.5
20210715,마포,마포구,0
20210715,서대문,서대문구,0
20210715,서초,서초구,0
20210715,성동,성동구,1.5
20210715,성북,성북구,0
20210715,송파,송파구,0
20210715,양천,양천구,0
20210715,영등포,영등포구,0
20210715,용산,용산구,4.5
20210715,은평,은평구,0
20210715,중구,중구,0
20210716,강남,강남구,0
20210716,강동,강동구,0
20210716,강북,강북구,0
20210716,강서,강서구,25.5
20210716,관악,관악구,11.5
20210716,광진,광진구,0
20210716,구로,구로구,7.5
20210716,금천,금천구,21
20210716,노원,노원구,0
20210716,도봉,도봉구,0
20210716,동대문,동대문구,0
20210716,마포,마포구,14
20210716,서대문,서대문구,3
20210716,서초,서초구,0
20210716,성동,성동구,0
20210716,성북,성북구,0
20210716,송파,송파구,0
20210716,양천,양천구,39
20210716,영등포,영등포구,24
20210716,용산,용산구,0
20210716,은평,은평구,0
20210716,중구,중구,0
20210717,강남,강남구,0
20210717,강동,강동구,1
20210717,강북,강북구,1
20210717,강서,강서구,0.5
20210717,관악,관악구,0
20210717,광진,광진구,0
20210717,구로,구로구,1.5
20210717,금천,금천구,0
20210717,노원,노원구,0
20210717,도봉,도봉구,0
20210717,동대문,동대문구,3
20210717,마포,마포구,0
20210717,서대문,서대문구,1
20210717,서초,서초구,0
20210717,성동,성동구,0
20210717,성북,성북구,5.5
20210717,송파,송파구,0
20210717,양천,양천구,0
20210717,영등포,영등포구,0
20210717,용산,용산구,0
20210717,은평,은평구,1.5
20210717,중구,중구,0
20210718,강남,강남구,0
20210718,강동,강동구,0
20210718,강북,강북구,1
20210718,강서,강서구,8
20210718,관악,관악구,14.5
20210718,광진,광진구,0
20210718,구로,구로구,12
20210718,금천,금천구,4.5
20210718,노원,노원구,10.5
20210718,도봉,도봉구,8
20210718,동대문,동대문구,0
20210718,마포,마포구,1
20210718,서대문,서대문구,0.5
20210718,서초,서초구,0
20210718,성동,성동구,0
20210718,성북,성북구,0
20210718,송파,송파구,0
20210718,양천,양천구,12.5
20210718,영등포,영등포구,7.5
20210718,용산,용산구,0
20210718,은평,은평구,0
20210718,중구,중구,0
20210719,강남,강남구,10.5
20210719,강동,강동구,0.5
20210719,강북,강북구,11.5
20210719,강서,강서구,19
20210719,관악,관악구,5
20210719,광진,광진구,15.5
20210719,구로,구로구,24
20210719,노원,노원구,0
20210719,도봉,도봉구,8
20210719,동대문,동대문구,24.5
20210719,마포,마포구,31
20210719,서대문,서대문구,56.5
20210719,서초,서초구,8.5
20210719,성동,성동구,5
20210719,성북,성북구,28.5
20210719,송파,송파구,5
20210719,양천,양천구,22
20210719,용산,용산구,5
20210719,은평,은평구,55.5
20210719,중구,중구,9.5
20210720,강남,강남구,0
20210720,강동,강동구,0
20210720,강북,강북구,0
20210720,강서,강서구,3
20210720,관악,관악구,0
20210720,광진,광진구,0
20210720,구로,구로구,1
20210720,노원,노원구,0
20210720,도봉,도봉구,0
20210720,동대문,동대문구,0
20210720,마포,마포구,7.5
20210720,서대문,서대문구,3.5
20210720,서초,서초구,0
20210720,성동,성동구,0
20210720,성북,성북구,0
20210720,송파,송파구,0
20210720,양천,양천구,0
20210720,영등포,영등포구,12.5
20210720,용산,용산구,0
20210720,은평,은평구,0
20210720,중구,중구,0
20210721,강남,강남구,0
20210721,강동,강동구,0
20210721,강북,강북구,0
20210721,강서,강서구,0
20210721,관악,관악구,0
20210721,광진,광진구,0
20210721,구로,구로구,0
20210721,노원,노원구,0
20210721,도봉,도봉구,0
20210721,동대문,동대문구,0
20210721,마포,마포구,0
20210721,서대문,서대문구,0
20210721,서초,서초구,0
20210721,성동,성동구,0
20210721,성북,성북구,0
20210721,송파,송파구,0
20210721,양천,양천구,0
20210721,영등포,영등포구,0
20210721,용산,용산구,0
20210721,은평,은평구,0
20210721,중구,중구,0
20210722,강남,강남구,0
20210722,강동,강동구,0
20210722,강북,강북구,0
20210722,강서,강서구,0
20210722,관악,관악구,0
20210722,광진,광진구,0
20210722,구로,구로구,0
20210722,금천,금천구,0
20210722,노원,노원구,0
20210722,도봉,도봉구,0
20210722,동대문,동대문구,0
20210722,마포,마포구,0
20210722,서대문,서대문구,0
20210722,서초,서초구,0
20210722,성동,성동구,0
20210722,성북,성북구,0
20210722,송파,송파구,0
20210722,양천,양천구,0
20210722,영등포,영등포구,0
20210722,용산,용산구,0
20210722,은평,은평구,0
20210723,강남,강남구,0
20210723,강동,강동구,0
20210723,강북,강북구,0
20210723,강서,강서구,0
20210723,관악,관악구,0
20210723,광진,광진구,0
20210723,구로,구로구,0
20210723,금천,금천구,0
20210723,노원,노원구,0
20210723,도봉,도봉구,0
20210723,동대문,동대문구,0
20210723,마포,마포구,0
20210723,서대문,서대문구,0
20210723,서초,서초구,0
20210723,성동,성동구,0
20210723,성북,성북구,0
20210723,송파,송파구,0
20210723,양천,양천구,0
20210723,영등포,영등포구,0
20210723,용산,용산구,0
20210723,은평,은평구,0
20210723,중구,중구,0
20210724,강남,강남구,0
20210724,강동,강동구,0
20210724,강북,강북구,0
20210724,강서,강서구,0
20210724,관악,관악구,0
20210724,광진,광진구,0
20210724,구로,구로구,0
20210724,금천,금천구,0
20210724,노원,노원구,0
20210724,도봉,도봉구,0
20210724,동대문,동대문구,0
20210724,마포,마포구,0
20210724,서대문,서대문구,0
20210724,서초,서초구,0
20210724,성동,성동구,0
20210724,성북,성북구,0
20210724,송파,송파구,0
20210724,양천,양천구,0
20210724,영등포,영등포구,0
20210724,용산,용산구,0
20210724,은평,은평구,0
20210724,중구,중구,0
20210725,강남,강남구,0
20210725,강동,강동구,0
20210725,강북,강북구,0
20210725,강서,강서구,0
20210725,관악,관악구,0
20210725,광진,광진구,0
20210725,구로,구로구,0
20210725,금천,금천구,0
20210725,노원,노원구,0
20210725,도봉,도봉구,0
20210725,동대문,동대문구,0
20210725,마포,마포구,0
20210725,서대문,서대문구,0
20210725,서초,서초구,0
20210725,성동,성동구,0
20210725,성북,성북구,0
20210725,송파,송파구,0
20210725,양천,양천구,0
20210725,영등포,영등포구,0
20210725,용산,용산구,0
20210725,은평,은평구,0
20210725,중구,중구,0
20210726,강남,강남구,0
20210726,강동,강동구,0
20210726,강북,강북구,0
20210726,강서,강서구,0
20210726,관악,관악구,0
20210726,광진,광진구,0
20210726,구로,구로구,0
20210726,금천,금천구,0
20210726,노원,노원구,0
20210726,도봉,도봉구,0
20210726,동대문,동대문구,0
20210726,마포,마포구,0
20210726,서대문,서대문구,0
20210726,서초,서초구,0
20210726,성동,성동구,0
20210726,성북,성북구,0
20210726,송파,송파구,0
20210726,양천,양천구,0
20210726,영등포,영등포구,0
20210726,용산,용산구,0
20210726,은평,은평구,0
20210726,중구,중구,0
20210727,강남,강남구,0
20210727,강동,강동구,0
20210727,강북,강북구,0
20210727,강서,강서구,0
20210727,관악,관악구,0
